OID,Date,Ae_aegypti
1,2016-31,2
2,2016-32,1
3,2016-33,0
4,2016-34,0
5,2016-35,0
6,2016-36,0
7,2016-37,0
8,2016-38,0
9,2016-39,12
10,2016-40,0
11,2016-41,0
12,2016-42,13
13,2016-43,0
14,2016-44,1
15,2016-45,0
16,2016-46,0
17,2016-47,1
18,2016-48,0
19,2016-49,0
20,2016-51,0
21,2016-52,0
22,2016-53,0
23,2017-01,0
24,2017-02,0
25,2017-07,0
26,2017-08,0
27,2017-09,0
28,2017-10,0
29,2017-11,0
30,2017-12,0
31,2017-13,0
32,2017-14,0
33,2017-15,0
34,2017-16,0
35,2017-17,0
36,2017-18,0
37,2017-19,0
38,2017-20,0
39,2017-21,0
40,2017-22,0
41,2017-23,0
42,2017-24,11
43,2017-25,45
44,2017-26,21
45,2017-27,94
46,2017-28,55
47,2017-29,76
48,2017-30,36
49,2017-31,12
50,2017-32,58
51,2017-33,65
52,2017-34,37
53,2017-35,118
54,2017-36,121
55,2017-37,124
56,2017-38,75
57,2017-39,154
58,2017-40,60
59,2017-41,50
60,2017-42,41
61,2017-43,12
62,2017-44,13
63,2017-45,13
64,2017-46,3
65,2017-47,2
66,2017-48,6
67,2017-49,7
68,2017-50,5
69,2017-51,0
70,2017-52,0
71,2018-01,0
72,2018-02,0
73,2018-03,0
74,2018-04,0
75,2018-05,1
76,2018-06,0
77,2018-07,0
78,2018-08,0
78,2018-09,0
79,2018-10,0
80,2018-11,0
81,2018-12,0
81,2018-13,0
81,2018-14,0
82,2018-15,0
82,2018-16,0
82,2018-17,0
83,2018-18,1
84,2018-19,10
85,2018-20,8
86,2018-21,2
87,2018-22,2
88,2018-23,6
89,2018-24,15
90,2018-25,10
91,2018-26,23
92,2018-27,24
93,2018-28,51
94,2018-29,27
95,2018-30,80
96,2018-31,74
97,2018-32,115
98,2018-33,60
99,2018-34,144
100,2018-35,185
101,2018-36,65
102,2018-37,148
103,2018-38,117
104,2018-39,167
105,2018-40,88
106,2018-41,64
107,2018-42,12
108,2018-43,81
109,2018-44,59
110,2018-45,17
111,2018-46,10
112,2018-47,7
113,2019-11,0
114,2019-12,0
115,2019-13,0
116,2019-14,0
117,2019-15,6
118,2019-16,0
119,2019-17,12
120,2019-18,2
121,2019-19,2
122,2019-20,0
123,2019-21,4
124,2019-22,10
125,2019-23,14
126,2019-24,38
127,2019-25,19
128,2019-26,82
129,2019-27,28
130,2019-28,150
131,2019-29,86
132,2019-30,137
133,2019-31,171
134,2019-32,165
135,2019-33,247
136,2019-34,196
137,2019-35,350
138,2019-36,224
139,2019-37,267
140,2019-38,151
141,2019-39,269
142,2019-40,164
143,2019-41,107
144,2019-42,217
145,2019-43,142
146,2019-44,91
147,2019-45,40
148,2019-46,31
149,2019-47,1
150,2020-10,2
151,2020-14,0
152,2020-16,0
153,2020-17,8
154,2020-18,1
155,2020-19,43
156,2020-20,12
157,2020-21,23
158,2020-22,32
159,2020-23,80
160,2020-24,70
161,2020-25,120
162,2020-26,99
163,2020-27,51
164,2020-28,246
165,2020-29,195
166,2020-30,235
167,2020-31,260
168,2020-32,373
169,2020-33,305
170,2020-34,694
171,2020-35,472
172,2020-36,663
173,2020-37,518
174,2020-38,539
175,2020-39,616
176,2020-40,489
177,2020-41,269
178,2020-42,438
179,2020-43,266
180,2020-44,274
181,2020-45,181
182,2020-46,8
183,2020-47,48
184,2021-10,1
185,2021-11,0
186,2021-12,2
187,2021-13,0
188,2021-14,0
189,2021-15,4
190,2021-16,2
191,2021-17,8
192,2021-18,8
193,2021-19,11
194,2021-20,14
195,2021-21,12
196,2021-22,16
197,2021-23,10
198,2021-24,12
199,2021-25,33
200,2021-26,25
201,2021-27,130
202,2021-28,62
203,2021-29,267
204,2021-30,164
205,2021-31,341
206,2021-32,239
207,2021-33,500
208,2021-34,214
209,2021-35,571
210,2021-36,290
211,2021-37,364
212,2021-38,402
213,2021-39,54
214,2021-40,381
215,2021-41,42
216,2021-42,199
217,2021-43,72
218,2021-44,214
219,2021-45,64
220,2021-46,28
221,2021-47,145
222,2021-48,16
223,2021-49,12
224,2021-50,2